Freq.	V(vo)
1.27938130415752e+000	(-4.98574312241693e+001dB,9.77842172843325e+001°)
1.28233058265602e+000	(-4.98370371600763e+001dB,9.77651785865348e+001°)
1.28528665994361e+000	(-4.98166448759849e+001dB,9.77461788348074e+001°)
1.28824955169313e+000	(-4.97962543640599e+001dB,9.77272179433687e+001°)
1.29121927361353e+000	(-4.97758656164995e+001dB,9.77082958265439e+001°)
1.29419584144998e+000	(-4.97554786255357e+001dB,9.76894123987664e+001°)
1.29717927098395e+000	(-4.97350933834326e+001dB,9.76705675745761e+001°)
1.30016957803328e+000	(-4.97147098824874e+001dB,9.76517612686209e+001°)
1.30316677845229e+000	(-4.96943281150301e+001dB,9.76329933956566e+001°)
1.30617088813183e+000	(-4.96739480734241e+001dB,9.76142638705475e+001°)
1.30918192299940e+000	(-4.96535697500638e+001dB,9.75955726082649e+001°)
1.31219989901920e+000	(-4.96331931373775e+001dB,9.75769195238899e+001°)
1.31522483219223e+000	(-4.96128182278244e+001dB,9.75583045326104e+001°)
1.31825673855640e+000	(-4.95924450138969e+001dB,9.75397275497247e+001°)
1.32129563418657e+000	(-4.95720734881185e+001dB,9.75211884906382e+001°)
1.32434153519466e+000	(-4.95517036430456e+001dB,9.75026872708670e+001°)
1.32739445772973e+000	(-4.95313354712653e+001dB,9.74842238060349e+001°)
1.33045441797808e+000	(-4.95109689653971e+001dB,9.74657980118755e+001°)
1.33352143216332e+000	(-4.94906041180917e+001dB,9.74474098042320e+001°)
1.33659551654643e+000	(-4.94702409220312e+001dB,9.74290590990566e+001°)
1.33967668742593e+000	(-4.94498793699289e+001dB,9.74107458124115e+001°)
1.34276496113786e+000	(-4.94295194545295e+001dB,9.73924698604689e+001°)
1.34586035405594e+000	(-4.94091611686081e+001dB,9.73742311595100e+001°)
1.34896288259164e+000	(-4.93888045049717e+001dB,9.73560296259272e+001°)
1.35207256319427e+000	(-4.93684494564570e+001dB,9.73378651762221e+001°)
1.35518941235103e+000	(-4.93480960159323e+001dB,9.73197377270074e+001°)
1.35831344658715e+000	(-4.93277441762960e+001dB,9.73016471950058e+001°)
1.36144468246594e+000	(-4.93073939304767e+001dB,9.72835934970503e+001°)
1.36458313658892e+000	(-4.92870452714337e+001dB,9.72655765500848e+001°)
1.36772882559584e+000	(-4.92666981921565e+001dB,9.72475962711643e+001°)
1.37088176616484e+000	(-4.92463526856641e+001dB,9.72296525774535e+001°)
1.37404197501251e+000	(-4.92260087450064e+001dB,9.72117453862296e+001°)
1.37720946889394e+000	(-4.92056663632620e+001dB,9.71938746148791e+001°)
1.38038426460288e+000	(-4.91853255335403e+001dB,9.71760401809014e+001°)
1.38356637897177e+000	(-4.91649862489795e+001dB,9.71582420019058e+001°)
1.38675582887188e+000	(-4.91446485027478e+001dB,9.71404799956136e+001°)
1.38995263121334e+000	(-4.91243122880423e+001dB,9.71227540798574e+001°)
1.39315680294529e+000	(-4.91039775980899e+001dB,9.71050641725810e+001°)
1.39636836105593e+000	(-4.90836444261463e+001dB,9.70874101918403e+001°)
1.39958732257261e+000	(-4.90633127654960e+001dB,9.70697920558024e+001°)
1.40281370456195e+000	(-4.90429826094527e+001dB,9.70522096827462e+001°)
1.40604752412990e+000	(-4.90226539513591e+001dB,9.70346629910628e+001°)
1.40928879842186e+000	(-4.90023267845867e+001dB,9.70171518992553e+001°)
1.41253754462274e+000	(-4.89820011025343e+001dB,9.69996763259376e+001°)
1.41579377995707e+000	(-4.89616768986308e+001dB,9.69822361898370e+001°)
1.41905752168908e+000	(-4.89413541663325e+001dB,9.69648314097922e+001°)
1.42232878712281e+000	(-4.89210328991240e+001dB,9.69474619047542e+001°)
1.42560759360218e+000	(-4.89007130905183e+001dB,9.69301275937861e+001°)
1.42889395851109e+000	(-4.88803947340564e+001dB,9.69128283960638e+001°)
1.43218789927353e+000	(-4.88600778233067e+001dB,9.68955642308747e+001°)
1.43548943335364e+000	(-4.88397623518660e+001dB,9.68783350176194e+001°)
1.43879857825583e+000	(-4.88194483133588e+001dB,9.68611406758106e+001°)
1.44211535152486e+000	(-4.87991357014364e+001dB,9.68439811250731e+001°)
1.44543977074592e+000	(-4.87788245097781e+001dB,9.68268562851447e+001°)
1.44877185354475e+000	(-4.87585147320907e+001dB,9.68097660758757e+001°)
1.45211161758773e+000	(-4.87382063621079e+001dB,9.67927104172293e+001°)
1.45545908058195e+000	(-4.87178993935909e+001dB,9.67756892292809e+001°)
1.45881426027534e+000	(-4.86975938203272e+001dB,9.67587024322185e+001°)
1.46217717445671e+000	(-4.86772896361323e+001dB,9.67417499463436e+001°)
1.46554784095590e+000	(-4.86569868348477e+001dB,9.67248316920697e+001°)
1.46892627764385e+000	(-4.86366854103413e+001dB,9.67079475899231e+001°)
1.47231250243271e+000	(-4.86163853565086e+001dB,9.66910975605434e+001°)
1.47570653327588e+000	(-4.85960866672706e+001dB,9.66742815246825e+001°)
1.47910838816819e+000	(-4.85757893365760e+001dB,9.66574994032062e+001°)
1.48251808514594e+000	(-4.85554933583981e+001dB,9.66407511170919e+001°)
1.48593564228699e+000	(-4.85351987267376e+001dB,9.66240365874306e+001°)
1.48936107771090e+000	(-4.85149054356207e+001dB,9.66073557354261e+001°)
1.49279440957898e+000	(-4.84946134790999e+001dB,9.65907084823953e+001°)
1.49623565609442e+000	(-4.84743228512531e+001dB,9.65740947497677e+001°)
1.49968483550236e+000	(-4.84540335461843e+001dB,9.65575144590858e+001°)
1.50314196609001e+000	(-4.84337455580233e+001dB,9.65409675320057e+001°)
1.50660706618673e+000	(-4.84134588809252e+001dB,9.65244538902959e+001°)
1.51008015416413e+000	(-4.83931735090704e+001dB,9.65079734558379e+001°)
1.51356124843619e+000	(-4.83728894366647e+001dB,9.64915261506261e+001°)
1.51705036745932e+000	(-4.83526066579395e+001dB,9.64751118967683e+001°)
1.52054752973248e+000	(-4.83323251671510e+001dB,9.64587306164851e+001°)
1.52405275379728e+000	(-4.83120449585804e+001dB,9.64423822321098e+001°)
