Freq.	V(vo)/V(vi)
1.77827941003890e+000	(-4.68997155439943e+001dB,8.95833836053338e+001°)
1.78237876744807e+000	(-4.68797166038588e+001dB,8.95824232393260e+001°)
1.78648757485203e+000	(-4.68597176686149e+001dB,8.95814606596814e+001°)
1.79060585403527e+000	(-4.68397187382855e+001dB,8.95804958612987e+001°)
1.79473362683250e+000	(-4.68197198128934e+001dB,8.95795288390647e+001°)
1.79887091512876e+000	(-4.67997208924611e+001dB,8.95785595878546e+001°)
1.80301774085955e+000	(-4.67797219770114e+001dB,8.95775881025317e+001°)
1.80717412601090e+000	(-4.67597230665678e+001dB,8.95766143779477e+001°)
1.81134009261958e+000	(-4.67397241611529e+001dB,8.95756384089421e+001°)
1.81551566277311e+000	(-4.67197252607900e+001dB,8.95746601903426e+001°)
1.81970085860996e+000	(-4.66997263655029e+001dB,8.95736797169652e+001°)
1.82389570231961e+000	(-4.66797274753144e+001dB,8.95726969836139e+001°)
1.82810021614272e+000	(-4.66597285902482e+001dB,8.95717119850804e+001°)
1.83231442237119e+000	(-4.66397297103280e+001dB,8.95707247161449e+001°)
1.83653834334832e+000	(-4.66197308355776e+001dB,8.95697351715753e+001°)
1.84077200146893e+000	(-4.65997319660207e+001dB,8.95687433461273e+001°)
1.84501541917945e+000	(-4.65797331016817e+001dB,8.95677492345450e+001°)
1.84926861897805e+000	(-4.65597342425841e+001dB,8.95667528315600e+001°)
1.85353162341479e+000	(-4.65397353887527e+001dB,8.95657541318918e+001°)
1.85780445509167e+000	(-4.65197365402112e+001dB,8.95647531302479e+001°)
1.86208713666284e+000	(-4.64997376969842e+001dB,8.95637498213235e+001°)
1.86637969083464e+000	(-4.64797388590965e+001dB,8.95627441998016e+001°)
1.87068214036577e+000	(-4.64597400265724e+001dB,8.95617362603531e+001°)
1.87499450806739e+000	(-4.64397411994369e+001dB,8.95607259976363e+001°)
1.87931681680324e+000	(-4.64197423777149e+001dB,8.95597134062976e+001°)
1.88364908948977e+000	(-4.63997435614312e+001dB,8.95586984809708e+001°)
1.88799134909627e+000	(-4.63797447506108e+001dB,8.95576812162773e+001°)
1.89234361864495e+000	(-4.63597459452793e+001dB,8.95566616068264e+001°)
1.89670592121112e+000	(-4.63397471454616e+001dB,8.95556396472147e+001°)
1.90107827992327e+000	(-4.63197483511835e+001dB,8.95546153320266e+001°)
1.90546071796322e+000	(-4.62997495624703e+001dB,8.95535886558337e+001°)
1.90985325856621e+000	(-4.62797507793481e+001dB,8.95525596131955e+001°)
1.91425592502106e+000	(-4.62597520018419e+001dB,8.95515281986586e+001°)
1.91866874067026e+000	(-4.62397532299786e+001dB,8.95504944067574e+001°)
1.92309172891013e+000	(-4.62197544637835e+001dB,8.95494582320134e+001°)
1.92752491319091e+000	(-4.61997557032833e+001dB,8.95484196689357e+001°)
1.93196831701690e+000	(-4.61797569485036e+001dB,8.95473787120206e+001°)
1.93642196394658e+000	(-4.61597581994715e+001dB,8.95463353557518e+001°)
1.94088587759275e+000	(-4.61397594562134e+001dB,8.95452895946003e+001°)
1.94536008162263e+000	(-4.61197607187553e+001dB,8.95442414230244e+001°)
1.94984459975802e+000	(-4.60997619871248e+001dB,8.95431908354697e+001°)
1.95433945577537e+000	(-4.60797632613485e+001dB,8.95421378263687e+001°)
1.95884467350596e+000	(-4.60597645414533e+001dB,8.95410823901414e+001°)
1.96336027683602e+000	(-4.60397658274664e+001dB,8.95400245211949e+001°)
1.96788628970682e+000	(-4.60197671194151e+001dB,8.95389642139233e+001°)
1.97242273611482e+000	(-4.59997684173267e+001dB,8.95379014627079e+001°)
1.97696964011183e+000	(-4.59797697212287e+001dB,8.95368362619170e+001°)
1.98152702580507e+000	(-4.59597710311490e+001dB,8.95357686059060e+001°)
1.98609491735734e+000	(-4.59397723471153e+001dB,8.95346984890172e+001°)
1.99067333898716e+000	(-4.59197736691554e+001dB,8.95336259055799e+001°)
1.99526231496885e+000	(-4.58997749972973e+001dB,8.95325508499105e+001°)
1.99986186963271e+000	(-4.58797763315690e+001dB,8.95314733163121e+001°)
2.00447202736513e+000	(-4.58597776719993e+001dB,8.95303932990747e+001°)
2.00909281260870e+000	(-4.58397790186163e+001dB,8.95293107924755e+001°)
2.01372424986236e+000	(-4.58197803714484e+001dB,8.95282257907779e+001°)
2.01836636368153e+000	(-4.57997817305247e+001dB,8.95271382882327e+001°)
2.02301917867824e+000	(-4.57797830958736e+001dB,8.95260482790771e+001°)
2.02768271952125e+000	(-4.57597844675243e+001dB,8.95249557575352e+001°)
2.03235701093619e+000	(-4.57397858455058e+001dB,8.95238607178176e+001°)
2.03704207770569e+000	(-4.57197872298473e+001dB,8.95227631541219e+001°)
