Bode taken on 20092019-151651
0 points could not be taken due to noise in the signal.
Obtained data is as follows:
['Frequency', 'Vpp 1', 'Vpp 2', 'Phase', 'Ratio', 'Slope']
[740.1959996915645, 1.0236666666666665, 0.521, 27.333333333333332, -5.866416768477639, 0.0017080002127501204]
[775.2597488629465, 1.0231666666666668, 0.529, 26.5, -5.72981421922936, 0.003895834087239297]
[811.9844993184009, 1.0197999999999998, 0.5336000000000001, 25.6, -5.625983734459242, 0.002827261818866829]
[850.4489341802678, 1.022, 0.5345, 24.25, -5.6300637250779415, -0.0001060717682022869]
[890.735463861044, 1.0205, 0.5386666666666667, 24.0, -5.549858146663686, 0.0019908783171395305]
[932.9304026284686, 1.0236666666666665, 0.54, 23.6, -5.555296038008758, -0.0001288754410818169]
[977.1241535346502, 1.022, 0.5478333333333334, 21.166666666666668, -5.416048842014264, 0.003150834521606934]
[1023.4114021054527, 1.0216666666666667, 0.551, 20.5, -5.363152505659727, 0.001142784200569294]
[1071.8913192051275, 1.022, 0.557, 21.75, -5.271914012499299, 0.0018819853378222822]
[1122.6677735108135, 1.0205, 0.5582, 18.0, -5.24046353798954, 0.0006193909153329196]
[1175.849554052157, 1.0218, 0.5596666666666666, 17.25, -5.228729138557167, 0.00022064698310074045]
[1231.550603292826, 1.022, 0.5668333333333333, 18.2, -5.11991028499231, 0.0019536230474704445]
[1289.8902612533082, 1.0193333333333332, 0.5648333333333333, 15.8, -5.127918158058083, -0.00013726294163736604]
[1350.9935211980264, 1.022, 0.5653333333333332, 16.0, -5.142926051953229, -0.000245615273370425]
[1414.991297434576, 1.0205, 0.568, 15.833333333333334, -5.08929346682141, 0.000838038261416807]
[1482.0207057988587, 1.0201666666666667, 0.572, 14.6, -5.0255020064503935, 0.0009516936211689437]
[1552.225357427048, 1.0198, 0.58, 14.5, -4.901740281370351, 0.001762870724514044]
[1625.755666443795, 1.0248333333333333, 0.576, 12.5, -5.004615184755853, -0.0013990816135706849]
[1702.7691722258996, 1.0228333333333335, 0.576, 13.0, -4.9876477895415245, 0.00022031713842938396]
[1783.4308769319093, 1.0236666666666665, 0.5797999999999999, 11.2, -4.937607014088558, 0.0006203783522224337]
[1867.9135990207828, 1.0231666666666668, 0.58, 10.8, -4.93036778867433, 8.56888276707334e-05]
