Bode taken on 20092019-142930
0 points could not be taken due to noise in the signal.
Obtained data is as follows:
['Frequency', 'Vpp 1', 'Vpp 2', 'Phase', 'Ratio', 'Slope']
[92.21978823334327, 2.0675, 0.3498, 75.2, -15.43251426163853, 0.07445018614352339]
[98.84959046625586, 2.058, 0.3626, 74.0, -15.080351413338484, 0.05311815283897771]
[105.9560179277616, 2.06, 0.3832, 70.33333333333333, -14.608834399252933, 0.0663507812666316]
[113.57333583431051, 2.06, 0.4075, 71.16666666666667, -14.07479214586316, 0.07010896222811375]
[121.7382727739662, 2.0583333333333336, 0.4345, 69.75, -13.510518528547113, 0.06910936624329181]
[130.49019780144016, 2.0683333333333334, 0.4524, 68.0, -13.20195869723337, 0.03525622424153724]
[139.87131026472386, 2.0566666666666666, 0.48, 66.0, -12.63845343875984, 0.06006806342840542]
[149.92684327860457, 2.0533333333333332, 0.5133333333333333, 65.75, -12.041199826559248, 0.05939551999641782]
[160.70528182616385, 2.066666666666667, 0.528, 64.25, -11.852730244895584, 0.017485796373199355]
[172.25859653987874, 2.063333333333333, 0.5578333333333334, 62.0, -11.36129864652644, 0.04253598300977371]
[184.64249428955426, 2.065, 0.585, 60.5, -10.955283798204787, 0.03278570741851369]
[197.91668678535575, 2.0566666666666666, 0.6116666666666667, 58.0, -10.53298190890267, 0.03181375360012956]
[212.14517849106298, 2.0633333333333335, 0.6436, 57.0, -10.119067177469272, 0.029090555766172397]
[227.39657523579274, 2.07, 0.6657500000000001, 54.0, -9.853183406918776, 0.017433404625210806]
[243.74441501222216, 2.058333333333333, 0.6906666666666667, 52.5, -9.484944217170156, 0.02252525072331285]
[261.26752255633266, 2.066666666666667, 0.727, 51.0, -9.074720478391074, 0.02341044462270383]
[280.0503894183631, 2.06, 0.7516666666666666, 49.6, -8.75683857749673, 0.016924035251346094]
[300.1835813575589, 2.06, 0.7805000000000001, 48.0, -8.429886259414342, 0.016239467595094474]
[321.76417502507354, 2.0633333333333335, 0.806, 44.75, -8.164687049907297, 0.012288781930325263]
[344.896226040576, 2.06, 0.83, 42.75, -7.8957825598615905, 0.011624757781551413]
[369.6912707195025, 2.065, 0.8608, 41.0, -7.600355953402117, 0.011914743864549639]
[396.2688638701478, 2.0566666666666666, 0.8816666666666667, 38.5, -7.357189753240742, 0.00914929349633267]
[424.75715525368986, 2.061666666666667, 0.9049999999999999, 37.666666666666664, -7.151397400805476, 0.007223752020247651]
[455.29350748669475, 2.0566666666666666, 0.919, 35.4, -6.99696795854936, 0.005057232804945285]
[488.02515836544336, 2.06, 0.952, 34.5, -6.704605439693582, 0.008932104278479803]
[523.1099308056258, 2.066666666666667, 0.9700000000000001, 31.6, -6.5699740102469315, 0.0038373180181285006]
[560.7169938205458, 2.0533333333333332, 0.9861666666666666, 29.0, -6.370182771027895, 0.005312598836547621]
[601.0276782070382, 2.065, 1.01, 27.4, -6.211973644195545, 0.003924744251808414]
[644.236350872137, 2.0533333333333332, 1.024, 26.0, -6.04319001609902, 0.0039062442256611605]
[690.5513520162331, 2.06, 1.0339999999999998, 25.333333333333332, -5.986933632224596, 0.0012146471442243568]
[740.1959996915637, 2.055, 1.0461666666666665, 24.0, -5.86421895890042, 0.0024718610982338695]
[793.4096665797492, 2.0549999999999997, 1.0616666666666668, 22.5, -5.736472885207623, 0.0024006252747291673]
[850.4489341802678, 2.065, 1.064, 21.0, -5.759568560667807, -0.00040490834528131905]
[911.5888299750818, 2.0540000000000003, 1.0740000000000003, 18.25, -5.63192315795445, 0.0020877595725994702]
[977.1241535346502, 2.0583333333333336, 1.095, 18.5, -5.482031760718076, 0.0022871848202615478]
[1047.3708979594498, 2.055, 1.105, 16.166666666666668, -5.388990963819172, 0.0013244855353902727]
[1122.6677735108135, 2.0675, 1.0999999999999999, 15.666666666666666, -5.481056661327185, -0.0012227027593623122]
[1203.3778407775892, 2.0633333333333335, 1.1133333333333335, 15.0, -5.35888364417107, 0.0015137271135246268]
[1289.8902612533082, 2.058333333333333, 1.12, 14.0, -5.285953690837184, 0.000842999802026748]
[1382.622173764655, 2.045, 1.1225, 12.5, -5.210139253359997, 0.0008175657702294284]
[1482.0207057988587, 2.05, 1.12, 12.0, -5.250716767711451, -0.00040823051931481965]
[1588.5651294280526, 2.055, 1.1349999999999998, 11.307692307692308, -5.156319293658932, 0.0008859916909499642]
